tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
0.00	0.00	0.00	0.00	0.00	0.00	18987893.00	19091052.00
0.00	0.00	0.00	0.00	0.00	0.00	18989671.00	19098526.00
0.00	0.00	0.00	0.00	0.00	0.00	18992547.00	19126424.00
0.00	0.00	0.00	0.00	0.00	0.00	18996631.00	19194678.00
0.00	0.00	0.00	0.00	0.00	0.00	19077440.00	19195176.00
0.00	0.00	0.00	0.00	0.00	0.00	19087860.00	19222414.00
0.00	0.00	0.00	0.00	0.00	0.00	19307091.00	19223940.00
0.00	0.00	0.00	0.00	0.00	0.00	19317628.00	19339331.00
0.00	0.00	0.00	0.00	0.00	0.00	19330473.00	19347845.00
0.00	0.00	0.00	0.00	0.00	0.00	19332160.00	19348280.00
0.00	0.00	0.00	0.00	0.00	0.00	19350200.00	19350454.00
0.00	0.00	0.00	0.00	0.00	0.00	19372204.00	19393403.00
0.00	0.00	0.00	0.00	0.00	0.00	19413354.00	19398577.00
0.00	0.00	0.00	0.00	0.00	0.00	19417528.00	19447398.00
0.00	0.00	0.00	0.00	0.00	0.00	19727482.00	19626603.00
0.00	0.00	0.00	0.00	0.00	0.00	19943536.00	19647013.00
0.00	0.00	0.00	0.00	0.00	0.00	19957661.00	19792905.00
0.00	0.00	0.00	0.00	0.00	0.00	19962687.00	19941732.00
0.00	0.00	0.00	0.00	0.00	0.00	19967089.00	20008608.00
0.00	0.00	0.00	0.00	0.00	0.00	20020370.00	20013729.00
0.00	0.00	0.00	0.00	0.00	0.00	20475604.00	20165962.00
0.00	0.00	0.00	0.00	0.00	0.00	20476358.00	20375910.00
0.00	0.00	0.00	0.00	0.00	0.00	20682156.00	20392306.00
0.00	0.00	0.00	0.00	0.00	0.00	20709211.00	20410079.00
0.00	0.00	0.00	0.00	0.00	0.00	20727434.00	20575401.00
0.00	0.00	0.00	0.00	0.00	0.00	20782018.00	20706996.00
0.00	0.00	0.00	0.00	0.00	0.00	20953788.00	20731895.00
0.00	0.00	0.00	0.00	0.00	0.00	20980565.00	20765381.00
0.00	0.00	0.00	0.00	0.00	0.00	21004857.00	20783603.00
0.00	0.00	0.00	0.00	0.00	0.00	21015952.00	20805218.00
0.00	0.00	0.00	0.00	0.00	0.00	21020543.00	20879798.00
0.00	0.00	0.00	0.00	0.00	0.00	21139138.00	20904610.00
0.00	0.00	0.00	0.00	0.00	0.00	21270158.00	20917210.00
0.00	0.00	0.00	0.00	0.00	0.00	21374159.00	20972136.00
0.00	0.00	0.00	0.00	0.00	0.00	21496883.00	21040455.00
